test,this is a test
ls, "Short for lists; displays the file and directory names in the current working directory."
pwd, "Short for present working directory; it's only function is to print the present working directory of your terminal."
mkdir, "Short for make directory; it creates each directory specifed on the command line in the order given."
cp, "Short for copy; This command us used to copy files or group of files or directory."
scp, "Short for secure copy; it is similar to copy but it operates over a secure network connection."
gcc, "Short for GNU Complier Collection; it is a complier system for the various programming languages."
kill, "this command sends a signal to specifed processes or process groups, causing them to act accoing to the signal."  
chmod, "is the command and system call used to change the access permissions and the special mode flags of file system objects."
chown, "this is the command for changing file ownership."
echo, "is a built-in Linux feature that prints out arguments as the standard output."
find, "is used to search for files and directories in the a directory hierarchy based on a user given expression."
rmdir, "is used to remove empty directories from the filesystem in linux."
mv, "Short for move, it is essentially used for moving files or directories from one location to another."  
man, "the command displays the user manual of any command that we run on the terminal." 
make, "is a commonly used by sysadmins and developers. The command assists in the compliation process and is a must-have tool."  " 
top, "is used to show the linux processes, it provides a dynamic real-time view of the running system."
cat, "it reads data from the file and gives their content as output. It helps us to create, view, concatentate files." 
df, "Short for Disk filesystem, it is used to get a full summary of available and used disk space usage of the file system on linux system."
exit, "The command lets you quit the shell where its run."
finger, "Command is a user information lookup command which gives details of all the users logged in."
cd, "Short for change directory, it is used to change directory when you have a terminal window open."
rm, "Short for remove, the command helps in removing files and directories from your linux filesystem from the terminal itself."
ssh, "short for secure shell, it is a protocol used to securely connect to a remote server/system."
g++, " is a GNU c++ complier invocation command, which is used for preprocessing, compliation, assembly and linking of source code to generate an execuatable file."
ps, "is short for process status, is used to list the currently running processes and thier PIDs along with some other information."
who, "The command in linux lists all logged-in users on the system."
alias, "This command lets you create shortcuts for these commands, making them easier to remember and use."
grep, "is short for Global regular expression print, is one of the most versatile commands in a linux terminal environment."
clear, "This command is used to clear the terminal screen."
